instituicao,ensino,pesquisa,mercado,inovacao,internacionalizacao
UNIVERSIDADE FEDERAL DO ESTADO DO RIO DE JANEIRO,24.8,28.82,5.64,1.59,2.57
UNIVERSIDADE ESTADUAL DE FEIRA DE SANTANA,20.89,27.33,9.36,1.98,2.77
UNIVERSIDADE NOVE DE JULHO,17.93,23.75,15.73,1.16,2.07
UNIVERSIDADE TIRADENTES,15.48,24.8,12.64,2.53,3.0
UNIVERSIDADE ESTADUAL DE SANTA CRUZ,18.65,29.4,5.64,0.95,3.59
UNIVERSIDADE DO VALE DO ITAJAÍ,19.46,20.13,14.73,1.43,2.47
UNIVERSIDADE REGIONAL DE BLUMENAU,17.18,23.5,12.64,2.44,1.95
FUNDAÇÃO UNIVERSIDADE FEDERAL DA GRANDE DOURADOS,22.16,27.49,4.27,1.36,1.79
UNIVERSIDADE DO ESTADO DA BAHIA,21.48,16.14,15.73,2.43,1.11
UNIVERSIDADE CATÓLICA DOM BOSCO,13.99,27.62,12.09,0.9,1.98
UNIVERSIDADE PAULISTA,17.99,16.34,17.91,0.42,2.08
UNIVERSIDADE DO SUL DE SANTA CATARINA,11.35,25.11,13.82,1.09,2.44
FUNDAÇÃO UNIVERSIDADE FEDERAL DO TOCANTINS,19.93,22.45,7.18,1.44,2.27
UNIVERSIDADE FEDERAL RURAL DO SEMI-ÁRIDO,23.3,23.85,3.09,1.73,1.1
UNIVERSIDADE ESTADUAL DE MONTES CLAROS,17.36,27.02,5.64,1.59,0.39
UNIVERSIDADE FEDERAL DOS VALES DO JEQUITINHONHA E MUCURI,18.24,25.89,3.09,2.19,1.42
FUNDAÇÃO UNIVERSIDADE FEDERAL DO VALE DO SÃO FRANCISCO,19.14,23.71,5.64,1.02,1.12
UNIVERSIDADE ESTADUAL DO CENTRO OESTE,22.71,20.35,4.27,2.87,0.12
UNIVERSIDADE ESTADUAL DO SUDOESTE DA BAHIA,17.77,20.66,9.36,0.87,1.4
UNIVERSIDADE FEDERAL DA FRONTEIRA SUL,21.02,23.41,3.09,0.84,1.53
UNIVERSIDADE ESTADUAL DA PARAÍBA,15.94,19.78,10.91,1.47,1.25
UNIVERSIDADE POSITIVO,14.99,17.19,13.82,1.47,1.64
UNIVERSIDADE DE RIBEIRÃO PRETO,19.35,15.39,12.09,0.5,1.71
UNIVERSIDADE FEEVALE,18.24,20.33,7.18,1.75,1.28
UNIVERSIDADE FEDERAL RURAL DA AMAZÔNIA,17.61,26.05,1.64,1.7,1.45
UNIVERSIDADE DE SANTA CRUZ DO SUL,13.43,21.22,10.91,0.53,2.25
UNIVERSIDADE ESTÁCIO DE SÁ,16.18,13.86,16.27,0.89,1.01
UNIVERSIDADE DO EXTREMO SUL CATARINENSE,11.62,22.91,9.36,1.98,2.17
UNIVERSIDADE DO ESTADO DO AMAZONAS,6.63,24.71,10.91,0.64,3.38
UNIVERSIDADE LUTERANA DO BRASIL,16.5,16.47,10.91,0.65,1.16
UNIVERSIDADE FEDERAL DO RECÔNCAVO DA BAHIA,17.67,19.45,4.27,2.65,1.33
UNIVERSIDADE DO ESTADO DE MINAS GERAIS,19.85,11.69,12.09,0.65,0.48
UNIVERSIDADE DE FRANCA,12.4,16.22,12.09,1.01,0.81
UNIVERSIDADE REGIONAL DO NOROESTE DO ESTADO DO RIO GRANDE DO SUL,17.38,12.33,10.91,0.65,0.62
UNIVERSIDADE ESTADUAL DO MARANHÃO,12.59,15.49,10.91,1.21,1.58
UNIVERSIDADE COMUNITÁRIA DA REGIÃO DE CHAPECÓ,13.23,19.32,7.18,0.45,1.07
UNIVERSIDADE SÃO FRANCISCO,12.55,15.12,10.91,0.71,1.93
UNIVERSIDADE FEDERAL DO ACRE,10.14,21.78,3.09,1.53,2.57
UNIVERSIDADE DO ESTADO DO PARÁ,12.81,15.19,9.36,0.84,0.3
UNIVERSIDADE DA REGIÃO DE JOINVILLE,12.69,12.61,9.36,1.47,1.82
UNIVERSIDADE SANTA CECÍLIA,16.54,8.81,7.18,2.46,2.85
UNIVERSIDADE DO ESTADO DO RIO GRANDE DO NORTE,15.1,13.14,7.18,0.83,1.24
UNIVERSIDADE SALVADOR,2.27,13.78,15.27,2.73,1.98
UNIVERSIDADE DE MOGI DAS CRUZES,11.83,10.9,9.36,0.71,3.17
UNIVERSIDADE DO VALE DO PARAÍBA,6.55,18.88,4.27,1.88,3.39
UNIVERSIDADE DE UBERABA,12.53,7.79,12.64,0.74,1.14
UNIVERSIDADE POTIGUAR,10.57,7.93,13.82,0.64,0.43
UNIVERSIDADE PITÁGORAS UNOPAR ANHANGUERA,4.59,12.83,12.09,0.63,2.04
UNIVERSIDADE REGIONAL INTEGRADA DO ALTO URUGUAI E DAS MISSÕES,11.1,10.42,9.36,0.95,0.26
UNIVERSIDADE UNIVERSUS VERITAS GUARULHOS,4.37,17.75,4.27,1.71,2.6
UNIVERSIDADE FUMEC,12.69,6.36,7.18,1.14,1.37
UNIVERSIDADE DO VALE DO SAPUCAÍ,6.04,6.63,4.27,2.39,0.01
